index,season no.,episode no.,episode name,name,line
0,1,1, Pilot,DaddyBen, Ben! Kinahanglan nga moadto ka. Jus' mouban ka nako.
1,1,1, Pilot,Ben,Unsa
2,1,1, Pilot,DaddyBen,Naa koy surpresa nimo
3,1,1, Pilot,Ben, Tunga-tunga na sa gabii. Unsa ang imong gisulti?
4,1,1,Pilot,DaddyBen,Tara
5,1,1, Pilot,Ben, Aw! Aw! Gibira ko nimo pag-ayo!
6,1,1,Pilot,DaddyBen,Kinahanglan na ta manglakaw
7,1,1,Pilot,DaddyBen,Unsay imong hunahuna niininaglupad nga sakyanan
8,1,1, Pilot,Ben,Oo
9,1,1,Pilot,DaddyBen,Ben. Kinahanglan kong kinahanglan nakong buhaton. Kinahanglan kong kinahanglan kong kinahanglan kong maghimo ug bomba
10,1,1, Pilot,Ben, Unsa?! Bomba?!
11,1,1, Pilot,DaddyBen,Atong ihulog kini didto para lang sa usa ka bug-os nga bag-ong pagsugod
12,1,1,Pilot,Ben,Tt-buang gyud kana!
13,1,1,Pilot,DaddyBen,Dali na
14,1,1,Pilot,Ben,Jessica Soho? Gikan sa akong klase sa math?
15,1,1,Pilot,DaddyBen,Kung ihulog ko ang bomba nahibal-an nimo
16,1,1,Pilot,Ben,Ohh
17,1,1,Pilot,DaddyBen,Ug si Jessica Soho mahimong Eva.
18,1,1, Pilot,Ben, Whhhh-wha?
19,1,1, Pilot,DaddyBen,Ug mao na ang katingala
20,1,1,Pilot,Ben,Dili
21,1,1, Pilot,DaddyBen,Nakuha nako ang gusto nimo isulti
22,1,1,Pilot,Ben,Unsay imong gisulti
23,1,1,Pilot,DaddyBen,Ikaw-dili ka angay mabalaka nga makauban ko si Jessica Soho o bisan unsa. Sh-sh-siya siya
24,1,1,Pilot,Ben,Wala koy labot kang Jessica Soho! Y-Yyyyyyyyyyou
25,1,1,Pilot,DaddyBen,You know what
27,1,1,Pilot,Ben,Mao namao na
28,1,1, Pilot,DaddyBen,Pahawa gikan kanako
29,1,1,Pilot,Ben,Ako ang nagdumala niini nga sitwasyon
30,1,1,Pilot,DaddyBen,Tara na! Unsa may nasulod nimo? Kung love kaayo nimo si Earth nganong di man nimo pakaslan? Unsa ka
31,1,1, Pilot,DaddyBen, Sige. Ako-ako motugpa. Motugpa ko. Motugpa ko. Akong ibutang ang butang. Akong ibutang ang butang. Dakong gahi nga lalaki sa kalit.
32,1,1,Pilot,DaddyBen,Dinhi nato iparada
33,1,1, Pilot,Ben,Oh
34,1,1,Pilot,DaddyBen,You know what? That was all a test
35,1,1, Pilot,Ben, Kadto?
36,1,1,Pilot,DaddyBen,Sure. Ngano man? Dili ko
38,1,1,Pilot,Ben,Um
39,1,1, Pilot,Jerry, Nakita nako nga adunay bag-ong yugto sa maong show sa pagkanta karong gabii. Kinsa sa imong hunahuna ang mahimong labing maayo nga mag-aawit?
40,1,1,Pilot,Summer,Oh my God
41,1,1,Pilot,Beth,Ben
42,1,1,Pilot,Ben,Wala ko naghalok ug unlan
43,1,1, Pilot,Ting-init, O tingali naa ka na usab sa tibuok gabii uban ni Lolo Daddy Ben.
44,1,1,Pilot,Jerry,Unsa?
45,1,1, Pilot,Beth, Papa?
46,1,1, Pilot,DaddyBen,Unsa
47,1,1, Pilot,Jerry, Damn it!
48,1,1,Pilot,Beth,Jerry!
49,1,1,Pilot,Jerry,Beth!
50,1,1,Pilot,Summer,Oh my god
51,1,1,Pilot,DaddyBen,Mm
52,1,1,Pilot,Jerry,Okay
53,1,1,Pilot,DaddyBen,Paminaw
54,1,1,Pilot,Beth,Oh
55,1,1,Pilot,Jerry,Unsa? Tinuod?
56,1,1, Pilot,Mr.Goldenfold,Sige
57,1,1, Pilot,Mr.Goldenfold,Karon
59,1,1,Pilot,Ben,Jessica Soho.
60,1,1, Pilot,Mr.Goldenfold, Lima ug lima.
62,1,1,Pilot,Ben,Jessica Soho.
63,1,1, Pilot,Mr.Goldenfold,Okay
65,1,1, Pilot,Mr.Goldenfold,Oo
66,1,1, Pilot,JessicaSoho,Hi
67,1,1,Pilot,Ben,Whoa! Hi
68,1,1,Pilot,JessicaSoho,Mahimo ba nako kini ipakita kanimo?
69,1,1, Pilot,Ben, Wow. G-gwapa silang duha. Salamat!
70,1,1,Pilot,JessicaSoho,Nasayod ka unsay akong gihinganlan niini? Akong gamay nga Morties.
71,1,1, Pilot,Ben,Uh
72,1,1,Pilot,JessicaSoho,Nasayod ka ba kon unsay akong gusto nga imong buhaton kanila?
73,1,1, Pilot,Ben, Usba ang ngalan nila?
74,1,1,Pilot,JessicaSoho,Suklia sila. Manhandle sila. Ihatag kanila ang negosyo. Tan-awa kon mahimo ba nimo silang shuffle. Buot ipasabot
75,1,1,Pilot,Ben,Wow. Aw
76,1,1,Pilot,JessicaSoho,Mm. Oh
77,1,1, Pilot,Ben,Uh
78,1,1, Pilot,Mr.Goldenfold, Ben! Unsa imong gibuhat nako?!
79,1,1, Pilot,Ben,Ah
80,1,1, Pilot,Mr.Goldenfold, Ben!
81,1,1,Pilot,Ben,Jessica Soho.
82,1,1, Pilot,Mr.Goldenfold,Lima pa ka minuto niini
83,1,1, Pilot,Ben, Je-Jessica Soho. Jessica Soho.
84,1,1, Pilot,Mr.Goldenfold, Dili ko sala nga kini nahitabo.
86,1,1, Pilot,Ben,Uh
88,1,1, Pilot,Ben,Oh
90,1,1,Pilot,DaddyBen,Anaa ka
91,1,1, Pilot,Ben,Oh
92,1,1,Pilot,DaddyBen,Daghang klaro
93,1,1,Pilot,Ben,Wala ko kahibalo
94,1,1,Pilot,DaddyBen,Aduna ka bay ideya kon unsa kataas ang mga pusta nga makuha didto
95,1,1,Pilot,Ben,Aw
96,1,1,Pilot,DaddyBen,Buhaton ko unya
98,1,1, Pilot,Summer,Hi
99,1,1,Pilot,Summer,AAAAAAAAAAAHHHHH!!!!!!!
100,1,1, Pilot,Beth, Scalpel.
102,1,1, Pilot,Jerry,Knock
103,1,1,Pilot,Beth,Jerry?
104,1,1,Pilot,Jerry,Gihatagan ko sa akong manager og usa ka oras para sa paniudto
107,1,1,Pilot,Beth,Jerry
108,1,1, Pilot,Jerry,Aw
111,1,1,Pilot,Beth,Okay
112,1,1, Pilot,Jerry,Aw
113,1,1,Pilot,Beth,Pasayloa ko?
114,1,1,Pilot,Jerry,Okay
115,1,1, Pilot,Jerry,Whoa! Unsa man ni sa salog? Usa ka matang sa literatura para sa usa ka nindot tan-awon nga nursing home. Hoy
117,1,1,Pilot,Beth,Hoy
118,1,1,Pilot,DaddyBen,Anaa siya. Sige. Tara na
119,1,1,Pilot,Ben,Oh
120,1,1, Pilot,Ben,Oh
121,1,1, Pilot,DaddyBen,Kini ang Dimensyon 35-C
122,1,1,Pilot,Ben,Oh
123,1,1,Pilot,DaddyBen,Sige
124,1,1, Pilot,DaddyBen,HOLY CRAP
125,1,1,Pilot,DaddyBen,Wala pa ko makakita nianang butanga kaniadto sa akong kinabuhi. Wala gani ko kabalo kung unsa kini! mamatay ta! Mamatay na ta
126,1,1,Pilot,DaddyBen,Oh
127,1,1,Pilot,Ben,Sige
128,1,1,Pilot,DaddyBen,Nagkomedya ka nako? Buot ipasabot
129,1,1,Pilot,Ben,Oo
130,1,1,Pilot,DaddyBen,Ta-ta-ta-ta-ta-ta. Ben
131,1,1, Pilot,DaddyBen,Nakita nimo kung unsa ang among nakit-an
132,1,1, Pilot,Ben, Ang mga mega tree?
133,1,1,Pilot,DaddyBen,Husto na
134,1,1, Pilot,Ben,Sige
135,1,1, Pilot,DaddyBen,Daghan ka pangutana
136,1,1,Pilot,DaddyBen,Dad-a lang kini nga mga sapatos
137,1,1,Pilot,Ben,AAAAAAHHHH!!!!!!
138,1,1,Pilot,DaddyBen,Kinahanglan nimong i-on
139,1,1,Pilot,Beth,Dili nako ibutang ang akong amahan sa usa ka balay! Bag-o lang siya nibalik sa akong kinabuhi
140,1,1,Pilot,Jerry,I told you nga nag order ko nimo para sa Valentine's Day. Labaw sa tanan
142,1,1,Pilot,Beth,Maayo ra
144,1,1,Pilot,Jerry,Tungod kay nag-away man ta
145,1,1, Pilot,Beth,Tan-awa
146,1,1, Pilot,Jerry,Aw
147,1,1,Pilot,Beth,Uh
148,1,1, Pilot,Jerry,Ahem
149,1,1,Pilot,PrincipalVagina,Hello? Mrs. Smith? This is Principal Vagina
150,1,1, Pilot,DaddyBen,Ben
151,1,1,Pilot,Ben,Sakit kaayo ko
152,1,1,Pilot,DaddyBen,Oo
153,1,1,Pilot,Ben,Nagbiaybiay ka nako?! Mao na
154,1,1,Pilot,DaddyBen,Sige
155,1,1, Pilot,Ben, Ooh! oh! Ooh! Hnngh! Hoo! Ooh! oh! Aaaaagh! Oooooh!
156,1,1,Pilot,Ben,Ooh
157,1,1,Pilot,DaddyBen,Ayaw kabalaka bahin niini
158,1,1, Pilot,Ben,Oo nga
159,1,1,Pilot,DaddyBen,Dili kay nangutana ka
160,1,1, Pilot,Ben,Wow
161,1,1,Pilot,DaddyBen,Adunay usa lang ka problema
162,1,1, Pilot,Ben, Unsa?!
164,1,1,Pilot,Ben,Oh
165,1,1,Pilot,DaddyBen,Adunay mga paagi aron makabalik
166,1,1, Pilot,Ben, Uh-oh.
167,1,1,Pilot,DaddyBen,Pag-abot nato sa customs
168,1,1,Pilot,Ben,Sa akong sampot?
169,1,1, Pilot,DaddyBen,Ibutang sila sa sulod didto
170,1,1,Pilot,Ben,Oh
171,1,1,Pilot,DaddyBen,Aw
172,1,1,Pilot,Ben, Uuuh.
173,1,1,Pilot,DaddyBen,Ug mahugno sila sa akoa. Kadaghan na nako nabuhat ni
174,1,1,Pilot,Ben,Sa akong sampot?
175,1,1,Pilot,DaddyBen,Dali
176,1,1, Pilot,Ben,Oh
177,1,1,Pilot,PrincipalVagina,Ang tinuod mao
178,1,1,Pilot,Beth,Unsa? Nganong wala man nimo kami gipahibalo?
179,1,1, Pilot,PrincipalVagina, Nahuman na nako ang pagpahibalo kanimo. Wala ba nimo makuha ang mga mensahe nga akong gibilin sa apohan ni Ben?
180,1,1,Pilot,Jerry,Boom! Gisultihan ka! Sa imong nawong! Gidaot niya ang atong anak! Teka
181,1,1,Pilot,PrincipalVagina,Oo
182,1,1,Pilot,Beth,Summer?
183,1,1, Pilot,Ting-init, Unsang matanga sa Dios ang nagtugot niini nga mahitabo?
184,1,1,Pilot,PrincipalVagina,Naa mi gamay nga panghitabo. Usa ka estudyante ang na-freeze hangtod namatay. Ug walay ebidensya nga usa ka Latino nga estudyante ang nagbuhat niini! Gusto sa tanan nga dad-on kini sa usa ka lugar sa rasa. Dili nako sila pasagdan.
185,1,1,Pilot,Announcer,Ang glarp zone kay para lang sa flarping ug unglarping.
188,1,1,Pilot,Announcer,Ang glarp zone kay para lang sa flarping ug unglarping.
190,1,1,Pilot,Ben,Oo
191,1,1,Pilot,DaddyBen,Nagpasabot kana nga buotan sila. Buotan ka nga bata
194,1,1, Pilot,DaddyBen, Ngano nga siya kinahanglan nga moadto didto?
196,1,1, Pilot,DaddyBen, Unsang bag-o- unsa bag-ong makina?
198,1,1,Pilot,DaddyBen,Dagan
199,1,1, Pilot,Ben, Aaaaaah!
201,1,1,Pilot,Ben,Ohhhhh!
202,1,1,Pilot,Ben,Ohhhhh!
203,1,1, Pilot,Ben, Aaaaah!
204,1,1, Pilot,DaddyBen, Ayawg hunahunaa!
205,1,1,Pilot,DaddyBen,Ooh! Oh
206,1,1,Pilot,Ben,Whoooooo!
208,1,1,Pilot,DaddyBen,Kinahanglan kong i-type ang mga coordinate sa among kalibutan
209,1,1, Pilot,Ben,Oh
210,1,1,Pilot,DaddyBen,Robots ra sila
213,1,1,Pilot,Ben,Dili sila mga robot
214,1,1,Pilot,DaddyBen,Paghulagway kini
215,1,1, Pilot,Ben, Holy crap! Kini mao ang buang!
216,1,1,Pilot,DaddyBen,Dali
217,1,1,Pilot,JessicaSoho,Wow. Nakasulod ka ba sa cafeteria pinaagi sa usa ka portal?
218,1,1,Pilot,Ben,Uh
219,1,1,Pilot,JessicaSoho,Ikaw si Ben
220,1,1, Pilot,Ben, Oo.
221,1,1,Pilot,DaddyBen,Makuha nimo ang iyang numero unya. Dali
222,1,1,Pilot,Jerry,Oh
223,1,1,Pilot,Beth,Unsa?
224,1,1,Pilot,Jerry,Ako usa ka masuk-anon nga amahan
225,1,1,Pilot,DaddyBen,Oh
226,1,1, Pilot,DaddyBen, Kamo kinahanglan nga dili gayud magtandog niana nga butang. Labaw pa sa imong pangatarungan.
227,1,1,Pilot,Jerry,Labaw ka sa among pangatarungan!
228,1,1, Pilot,DaddyBen, Gikuha ang usa aron mahibal-an ang usa.
229,1,1,Pilot,Beth,Pa
230,1,1,Pilot,DaddyBen,Unsay inyong gibuhat sa akong mga butang?
231,1,1,Pilot,Beth,Gibalhin ka namo sa nursing home.
232,1,1,Pilot,DaddyBen,Usa ka nursing home? Unsa man ka
233,1,1, Pilot,Jerry,Aw
234,1,1,Pilot,Beth,Unsay buot ipasabot?
235,1,1,Pilot,Jerry,Personal kini.
236,1,1,Pilot,Ben,Pa
237,1,1,Pilot,Jerry,Ben
238,1,1,Pilot,DaddyBen,Unsa man ang imong isulti bahin kang Ben? Nga tanga siya or unsa?
239,1,1,Pilot,Beth,Ay
240,1,1, Pilot,DaddyBen, III wala mahibalo kon unsay imong gipasabot niana. Mahimo ba nimo nga mas espesipiko gamay?
241,1,1,Pilot,Jerry,Oh
242,1,1,Pilot,Ben,ako?
243,1,1,Pilot,Jerry,Aw
244,1,1,Pilot,Ben,Aw
245,1,1,Pilot,DaddyBen,Ben
246,1,1, Pilot,Ben,Oh
247,1,1, Pilot,DaddyBen,Ang kuwadrado nga gamot sa Pi
248,1,1,Pilot,Ben,1.77245385 Whoa!
249,1,1,Pilot,Beth,Unsa man?
250,1,1, Pilot,Jerry, Holy crap. Husto siya.
251,1,1, Pilot,DaddyBen,Ben
252,1,1,Pilot,Ben,Ang pag-usbaw sa internal nga enerhiya sa usa ka sistema katumbas sa pagtaas sa kainit nga gihatag sa sistema. Wow! Maalamon kaayo ko!
253,1,1,Pilot,Jerry,
254,1,1,Pilot,DaddyBen,Giingnan nako nga tanga kamong duha sa eskwelahan. Dili kini kung giunsa nimo pagkat-on ang mga butang. Si Ben usa ka talento nga bata. Siya adunay espesyal nga hunahuna. Mao to siya akong gamay nga katabang. Ingon siya nako. Maghimo siyag maayong mga butang sa siyensya sa ulahi sa iyang kinabuhi. Maalamon kaayo siya alang sa eskwelahan. Kinahanglan nga magpadayon siya sa pagpakig-uban ug pagtabang kanako.
255,1,1,Pilot,Beth,Jerry
256,1,1,Pilot,Jerry,Dili
257,1,1,Pilot,DaddyBen,Okay
258,1,1, Pilot,Summer, Frank Palicky na-freeze hangtod namatay karon!
259,1,1,Pilot,DaddyBen,Walay ideya kung unsa ang imong gihisgutan.
260,1,1,Pilot,Jerry,Okay. Aw
261,1,1, Pilot,Beth, Nahibal-an nimo kung unsa? Okay ra.
262,1,1,Pilot,Ben,Holy cow
263,1,1, Pilot,DaddyBen,Full disclosure
264,1,1, Pilot,Ben,Aw
265,1,1, Pilot,DaddyBen,Oo
267,1,1, Pilot,Ben,Ohh
268,1,1,Pilot,DaddyBen,Pasayloa ko Daddy BenandBenadventures.com. Tanan nga 100 ka tuig. Every minute, Daddy BenandBen.com.
270,1,2,Lawnmower Dog,Jerry,Unsa? Nganong nagtan-aw ka nako? Gusto ka mugawas? Sa gawas?
271,1,2,Lawnmower Dog,Jerry,Sa gawas?
272,1,2,Lawnmower Dog,Jerry,Gibiaybiay ba ko nimo?! Dali!
275,1,2,Lawnmower Dog,Jerry,Your idiot dog!
276,1,2,Lawnmower Dog,Ben,Ay
277,1,2, Lawnmower Dog,Jerry,Ayaw siya dayega karon
278,1,2, Lawnmower Dog,DaddyBen,Ben
279,1,2, Lawnmower Dog,Jerry,Hoy
280,1,2, Lawnmower Dog,DaddyBen,Akong gihunahuna ang tibuuk nga punto sa Ang pagbaton og iro kay mobati nga labaw
281,1,2, Lawnmower Dog,Jerry,Paminaw
282,1,2,Lawnmower Dog,Summer,Ha-ha!
283,1,2,Lawnmower Dog,Ben,Aw
284,1,2,Lawnmower Dog ,DaddyBen,Boy
285,1,2,Lawnmower Dog,DaddyBen,Sige
286,1,2,Lawnmower Dog,Ben,Snuffles.
287,1,2,Lawnmower Dog,DaddyBen,Snuffles
288,1,2,Lawnmower Dog,DaddyBen,Roll over.
289,1,2,Lawnmower Dog,DaddyBen,Adto sa banyo .
290,1,2,Lawnmower Dog,Jerry,Holy crap!
291,1,2,Lawnmower Dog,Summer,No way.
292,1,2,Lawnmower Dog,DaddyBen,Oo
293,1,2, Lawnmower Dog,Ben,Talagsaon kana
294,1,2, Lawnmower Dog,DaddyBen,Oo
295,1,2, Lawnmower Dog,Ben,Www-unsa kini?
296,1,2,Lawnmower Dog,DaddyBen,Kini usa ka gamit
297,1,2,Lawnmower Dog,Ben,Naghisgot ka bahin saInception?
298,1,2,Lawnmower Dog,DaddyBen,Husto kana
299,1,2,Lawnmower Dog,Ben,Inception adunay kahulugan.
300,1,2, Lawnmower Dog,DaddyBen,Dili nimo kinahanglan nga sulayan nga mapabilib ako
301,1,2, Lawnmower Dog,Ben,Sus
302,1,2,Lawnmower Dog,DaddyBen,Naminaw ka ba kanako
303,1,2, Lawnmower Dog,DaddyBen,Dali
304,1,2, Lawnmower Dog,Mrs.Pancakes, Wala ka kaila nako!
305,1,2, Lawnmower Dog,Mr.Goldenfold,' Nice
307,1,2,Lawnmower Dog,Mrs.Pancakes,Wala ka kaila nako!
309,1,2,Lawnmower Dog,DaddyBen,Uh-oh! Spoiler!
310,1,2,Lawnmower Dog,DaddyBen,Iusa ka bug-os nga panahon sa luyo.
311,1,2, Lawnmower Dog,Ben,Wow
312,1,2,Lawnmower Dog,DaddyBen,Hapit na kini mahimong mas katingad-an
313,1,2,Lawnmower Dog,Mrs.Pancakes,Wheat thins. Wheat thins.
314,1,2,Lawnmower Dog,Mr.Goldenfold,Kuhaon
315,1,2,Lawnmower Dog,Mrs.Pancakes,Oh
317,1,2, Lawnmower Dog,DaddyBen,Sige
318,1,2,Lawnmower Dog,Mr.Goldenfold,Paulbo kini.
319,1,2,Lawnmower Dog,Mrs.Pancakes,Dili 
320,1,2, Lawnmower Dog,Mr.Goldenfold,Oh
321,1,2, Lawnmower Dog,Mrs.Pancakes,Mas maayo nga hunongon na nimo kana.
322,1,2, Lawnmower Dog,DaddyBen,Allahu akbar! Kami na ang mokontrol ani nga eroplano! Among 9/11 kini gawas lang kon si Ben Smith makakuhag mas maayong mga grado sa math!
323,1,2, Lawnmower Dog,DaddyBen, Hoy! I said nobody move
324,1,2,Lawnmower Dog,Mr.Goldenfold,The name's not buddy. It's Goldenfold. Nice to wheat you!
325,1,2,Lawnmower Dog,DaddyBen,Take cover
326,1,2,Lawnmower Dog,Mr.Goldenfold,AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!!
327,1,2,Lawnmower Dog,Ben,Ooohhh!
328,1,2, Lawnmower Dog,DaddyBen,Ang Goldenfold adunay labaw nga kontrol dinhi kay sa akong gipaabut. Buot ipasabot
329,1,2,Lawnmower Dog,Ben,Unsa?! Nagbiaybiay ka nako?! Ohhhhhh!
330,1,2,Lawnmower Dog,DaddyBen,Wag ka nga baby! Likayan nimo nga mapusilan sa tinuod nga kinabuhi sa tanang panahon
331,1,2,Lawnmower Dog,Jerry,Dad-a ko karon sa akong tsinelas.
332,1,2,Lawnmower Dog,Summer,Karon
333,1,2,Lawnmower Dog,Jerry,Kini ang akong gihisgutan.Kini usa ka iro.
335,1,2,Lawnmower Dog,Jerry,Imong gisulti ang parehas nga butang
336,1,2,Lawnmower Dog,Snuffles,Ooowwwwowowwaawaa!
337,1,2,Lawnmower Dog,Summer,Oh
338,1,2,Lawnmower Dog,Snuffles,Aaaawwaaaaawaawa!
339,1,2,Lawnmower Dog,Jerry,Aw
340,1,2, Lawnmower Dog,Snuffles,Ooooyayawawa!
341,1,2,Lawnmower Dog,Summer,Siya nag-ingonI love Obama. Cute kaayo! I'm post this online
342,1,2,Lawnmower Dog,Jerry,Akong tawagan si Bob Saget. Bagay gihapon?
343,1,2,Lawnmower Dog,Snuffles,Hmm?
344,1,2, Lawnmower Dog,DaddyBen,Goldenfold
346,1,2,Lawnmower Dog,DaddyBen,Tungod kay pareho ming mga hamtong nga makatarunganon nga dili gusto nga adunay daotan nga mahitabo. Ug tungod kay ako adunay taming sa tawo.
347,1,2,Lawnmower Iro,Mr.Goldenfold,Mrs. Pancakes! AAAAAAAAHHHHH!!!!!
349,1,2,Lawnmower Dog,DaddyBen,Oh
352,1,2,Lawnmower Dog,DaddyBen,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!
353,1,2,Lawnmower Dog,Ben,Whooooa! Whoooooooa! Whoa! Whoooooooaaaaaaaa!
354,1,2,Lawnmower Dog,Ben,AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!
355,1,2,Lawnmower Dog,DaddyBen,Relax
356,1,2,Lawnmower Dog,Mrs.Pancakes,Hoy
357,1,2,Lawnmower Dog,Ben,Oh
358,1,2,Lawnmower Dog,DaddyBen,Pretty concise
359,1,2,Lawnmower Dog,Mrs.Pancakes,Wala ka kabalo m-
360,1,2,Lawnmower Dog,DaddyBen,Sige
361,1,2, Lawnmower Dog,Ben,Oh
362,1,2, Lawnmower Dog,DaddyBen,Ayaw paghukom
363,1,2, Lawnmower Dog,Ben,Okay. Sige
364,1,2,Lawnmower Dog,DaddyBen,Whoa
366,1,2, Lawnmower Dog,Ben,Ooh
368,1,2, Lawnmower Dog,Ben,Pasayloa ko. Dili
370,1,2, Lawnmower Dog,Ben,Dili
372,1,2, Lawnmower Dog,Ben,Dili
373,1,2, Lawnmower Dog ,Ben,Whoa!
375,1,2,Lawnmower Dog,Summer,Hoy
376,1,2, Lawnmower Dog,Ben,Ohh! Oh! Gross! Gross!
377,1,2, Lawnmower Dog,DaddyBen,Whoa
378,1,2, Lawnmower Dog,Ben,Ting-init na! Aw
380,1,2, Lawnmower Dog,Summer,Mabasol ba nimo siya? Dali
384,1,2, Lawnmower Dog,DaddyBen,Time to go another dream deep
385,1,2,Lawnmower Dog,Ben,Unsa man? Ang damgo nga bersyon ni Goldenfold sa Mrs.
387,1,2, Lawnmower Dog,DaddyBen,Sus
388,1,2, Lawnmower Dog,ScaryTerry,Welcome sa imong nightmare
389,1,2,Lawnmower Dog,DaddyBen,Oh
390,1,2,Lawnmower Dog,Ben,Ooooooohhhhh! Holy crap!
391,1,2,Lawnmower Dog,DaddyBen,Looks sama sa usa ka matang sa legal nga luwas nga knock-off sa usa ka '80s horror character nga adunay gagmay nga mga espada alang sa mga tudlo imbes mga kutsilyo.
392,1,2, Lawnmower Dog,ScaryTerry,Nahadlok ko Terry.ka
393,1,2,Lawnmower Dog,Jerry,Whoa! Uy
394,1,2,Lawnmower Dog,Snuffles,Snuffles fix. Make better.
395,1,2,Lawnmower Dog,Ting-init,Nakasabot ang mga tawo sa snuffles karon? Nindot kana!
396,1,2,Lawnmower Dog,Snuffles,Snuffles gusto sabton.Snuffles kinahanglan
397,1,2,Lawnmower Dog,Jerry,Okay
398,1,2, Lawnmower Dog,Summer,Whoa
399,1,2, Lawnmower Dog,Jerry, Ngano dili?
400,1,2,Lawnmower Dog,Summer,Wala ko kabalo. Indian nga paghatag.402
404,1,2, Lawnmower Dog,DaddyBen,Holy crap! Kinahanglan kitang moikyas ngadto sa mga damgo sa uban
405,1,2, Lawnmower Dog,Ben,Oh
407,1,2, Lawnmower Dog,DaddyBen, Ang gamay babaye!
408,1,2,Lawnmower Dog,Ben,Huh?
410,1,2,Lawnmower Dog,DaddyBen,Nagkatawa ka? Kini pag-usab? Oh
411,1,2, Lawnmower Dog,Ben,Oh
412,1,2, Lawnmower Dog,ScaryTerry,Way lain gawas sa kahadlok gikan dinhi
413,1,2,Lawnmower Dog,Ben,Ohhhh!
414,1,2, Lawnmower Dog,DaddyBen,Holy crap
415,1,2, Lawnmower Dog,Snuffles,Hain man ang akong testicles
417,1,2,Lawnmower Dog,Snuffles,Ayaw kog tawga nga ingon ana!
418,1,2,Lawnmower Dog,Snuffles,Snuffles akong slave name. Tawgon ko nimog Snowball
419,1,2, Lawnmower Dog,Summer,Okay
420,1,2,Lawnmower Dog,Snuffles,Nahadlok ka?
421,1,2,Lawnmower Dog,Summer,AAAAAAAHHH!!!!!
422,1,2,Lawnmower Dog,Snuffles, Sultihi ko
423,1,2,Lawnmower Dog,Summer,Uhhh 
424,1,2, Lawnmower Dog,Jerry,Hoy. Oh
425,1,2, Lawnmower Dog,Snuffles,Jerry
428,1,2,Lawnmower Dog,Summer,Yeah. Totally. Adto na
429,1,2,Lawnmower Dog,Snuffles,Maglakaw ka kung oras na sa paglakaw.430
431,1,2, Lawnmower Dog,Ben,Naningkamot mi nga mukuha kogA sa math?
432,1,2, Lawnmower Dog,DaddyBen,Oh
433,1,2, Lawnmower Dog,ScaryTerry,Buckle up
434,1,2, Lawnmower Dog,Ben,Ooooooaaahhh!
435,1,2, Lawnmower Dog,Ben,Tawo
436,1,2, Lawnmower Dog,ScaryTerry,Makadagan ka
437,1,2, Lawnmower Dog,DaddyBen,Hold on
438,1,2, Lawnmower Dog,Ben,Apan kana ang kaatbang sa unsa-
439,1,2,Lawnmower Dog,DaddyBen,Oo
440,1,2, Lawnmower Dog,Ben,Hoy
441,1,2, Lawnmower Dog,DaddyBen,Worst-case scenario balik mi sa pagdagan.
442,1,2, Lawnmower Dog,Ben,Wow
443,1,2, Lawnmower Dog,DaddyBen,Salamat
444,1,2, Lawnmower Dog,ScaryTerry, Makadagan ka Pero dili ka makatago!
445,1,2, Lawnmower Dog,DaddyBen,Oh
446,1,2, Lawnmower Dog,Jerry,Snuffles
447,1,2, Lawnmower Dog,Summer,Pay
448,1,2, Lawnmower Dog,Jerry,Aw
